t_s,x2_control_m,x2_delta_theta2_1e-08_m,x2_delta_theta2_1e-06_m,x2_delta_theta2_0.0001_m,x2_delta_theta2_0.01_m,x2_delta_theta2_2_m
1.209999999999999964e+00,-1.610243463451337398e+00,-1.610243454632254156e+00,-1.610242581543957829e+00,-1.610155282956262646e+00,-1.601529695448871138e+00,-1.876371968737018836e+00
1.219999999999999973e+00,-1.585123269173432714e+00,-1.585123260230980602e+00,-1.585122374929329059e+00,-1.585033856445448919e+00,-1.576300387420578764e+00,-1.888234012220673774e+00
1.229999999999999982e+00,-1.558243587957697240e+00,-1.558243578938343310e+00,-1.558242686023544321e+00,-1.558153407490621367e+00,-1.549356364101396988e+00,-1.895498963262816972e+00
1.239999999999999991e+00,-1.529780202618651108e+00,-1.529780193560684509e+00,-1.529779296823326362e+00,-1.529689637162651383e+00,-1.520865584110766111e+00,-1.898610990559473466e+00
1.250000000000000000e+00,-1.499885168522876233e+00,-1.499885159458038908e+00,-1.499884262040539040e+00,-1.499794535385263305e+00,-1.490973839181091387e+00,-1.898102468709191637e+00
1.260000000000000009e+00,-1.468691160960508002e+00,-1.468691151915284099e+00,-1.468690256439646014e+00,-1.468600724904775667e+00,-1.459808776342353287e+00,-1.894522500218407401e+00
1.270000000000000018e+00,-1.436314929321166112e+00,-1.436314920317806276e+00,-1.436314028986917180e+00,-1.436224912794743513e+00,-1.427483096843275234e+00,-1.888385991184261758e+00
1.280000000000000027e+00,-1.402860048903489698e+00,-1.402860039960832417e+00,-1.402859154639145789e+00,-1.402770640184173967e+00,-1.394097109000560053e+00,-1.880146772064186012e+00
1.290000000000000036e+00,-1.368419123089572587e+00,-1.368419114223676125e+00,-1.368418236501725005e+00,-1.368330482798848280e+00,-1.359740775378489808e+00,-1.870189306394709039e+00
1.300000000000000044e+00,-1.333075556010351104e+00,-1.333075547235044844e+00,-1.333074678481546371e+00,-1.332987822375048648e+00,-1.324495363798954273e+00,-1.858831476838209928e+00
1.310000000000000053e+00,-1.296904987922103736e+00,-1.296904979249398071e+00,-1.296904120653427306e+00,-1.296818281032255271e+00,-1.288434788581106272e+00,-1.846332491631999417e+00
1.320000000000000062e+00,-1.259976466099703929e+00,-1.259976457540143535e+00,-1.259975610145669611e+00,-1.259890891395787582e+00,-1.251626706454900484e+00,-1.832902251370641000e+00
1.330000000000000071e+00,-1.222353406469947501e+00,-1.222353398032899774e+00,-1.222352562767276662e+00,-1.222269057619782107e+00,-1.214133419970878425e+00,-1.818710315414871381e+00
1.340000000000000080e+00,-1.184094389831930494e+00,-1.184094381525826467e+00,-1.184093559223545977e+00,-1.184011351129020895e+00,-1.176012627799595478e+00,-1.803893712824117923e+00
1.350000000000000089e+00,-1.145253826314572621e+00,-1.145253818147101921e+00,-1.145253009569807023e+00,-1.145172174698859013e+00,-1.137318053003369522e+00,-1.788563422083010224e+00
1.360000000000000098e+00,-1.105882514970985220e+00,-1.105882506949282362e+00,-1.105881712802973649e+00,-1.105802321766410579e+00,-1.098099974844899851e+00,-1.772809606429479157e+00
1.370000000000000107e+00,-1.066028119221024362e+00,-1.066028111351808194e+00,-1.066027332301772601e+00,-1.065949451642850487e+00,-1.058405683041033996e+00,-1.756705785548947851e+00
1.380000000000000115e+00,-1.025735575400974930e+00,-1.025735567690691186e+00,-1.025734804374877740e+00,-1.025658497906555056e+00,-1.018279870407651888e+00,-1.740312138626092686e+00
1.390000000000000124e+00,-9.850474474567638694e-01,-9.850474399116988522e-01,-9.850466929528951532e-01,-9.849720229747571665e-01,-9.777649766226703676e-01,-1.723678115117301957e+00
1.400000000000000133e+00,-9.440042386097834415e-01,-9.440042312361950350e-01,-9.440035012535696879e-01,-9.439305297063622646e-01,-9.369014930851435885e-01,-1.706844500637728412e+00
1.409999999999999920e+00,-9.026446688340983293e-01,-9.026446616383152488e-01,-9.026439492585518476e-01,-9.025727388365627490e-01,-8.957282373091548511e-01,-1.689845056306168880e+00
1.419999999999999929e+00,-8.610059249179345953e-01,-8.610059179064781798e-01,-8.610052237749821202e-01,-8.609358390469452615e-01,-8.542826032212675891e-01,-1.672707824569387158e+00
1.429999999999999938e+00,-8.191238888225769177e-01,-8.191238820022690437e-01,-8.191232067946885298e-01,-8.190557153549913316e-01,-8.126007930127960854e-01,-1.655456173631385530e+00
1.439999999999999947e+00,-7.770333483814575448e-01,-7.770333417595527425e-01,-7.770326861939702567e-01,-7.769671598821060732e-01,-7.707180343507564757e-01,-1.638109636156301008e+00
1.449999999999999956e+00,-7.347681938326182660e-01,-7.347681874169311733e-01,-7.347675522669705472e-01,-7.347040684775865138e-01,-7.286687861278123846e-01,-1.620684585503646247e+00
1.459999999999999964e+00,-6.923616019823261025e-01,-6.923615957813770150e-01,-6.923609818905251956e-01,-6.922996250052768641e-01,-6.864869345157946778e-01,-1.603194782282148623e+00
1.469999999999999973e+00,-6.498462091976970889e-01,-6.498462032208697225e-01,-6.498456115182356108e-01,-6.497864744812629212e-01,-6.442059802145251313e-01,-1.585651817246055195e+00
1.479999999999999982e+00,-6.072542728829476433e-01,-6.072542671406686576e-01,-6.072536986584098351e-01,-6.071968847187907414e-01,-6.018592162548852542e-01,-1.568065470746853762e+00
1.489999999999999991e+00,-5.646178202319065420e-01,-5.646178147358366095e-01,-5.646172706283844045e-01,-5.645628952618703122e-01,-5.594798945137883228e-01,-1.550444003733658871e+00
1.500000000000000000e+00,-5.219687813512672303e-01,-5.219687761145151983e-01,-5.219682576796930151e-01,-5.219164507001755604e-01,-5.171013774422367204e-01,-1.532794393724186133e+00
1.510000000000000009e+00,-4.793391025842866360e-01,-4.793390976216435062e-01,-4.793386063236588224e-01,-4.792895141819700222e-01,-4.747572698194821861e-01,-1.515122524834083162e+00
1.520000000000000018e+00,-4.367608345153947691e-01,-4.367608298435793346e-01,-4.367603673377098983e-01,-4.367141555894031857e-01,-4.324815234804634256e-01,-1.497433340263179868e+00
1.530000000000000027e+00,-3.942661874428724511e-01,-3.942661830807987489e-01,-3.942657512394497354e-01,-3.942226071499869144e-01,-3.903085063221862772e-01,-1.479730963397499988e+00
1.540000000000000036e+00,-3.518875464535589082e-01,-3.518875424226041160e-01,-3.518871433621523215e-01,-3.518472785906470168e-01,-3.482730252393655412e-01,-1.462018792994532745e+00
