t_s,x2_control_m,x2_delta_theta2_1e-08_m,x2_delta_theta2_1e-06_m,x2_delta_theta2_0.0001_m,x2_delta_theta2_0.01_m,x2_delta_theta2_2_m
1.030000000000000027e+00,-4.607776176603666785e-01,-4.607776225249421431e-01,-4.607781041177821946e-01,-4.608262624521456408e-01,-4.656325938602261516e-01,-9.449356599125197098e-01
1.040000000000000036e+00,-4.693761910360237932e-01,-4.693761960004130263e-01,-4.693766874748200868e-01,-4.694258339592233265e-01,-4.743309045196686946e-01,-9.728064176087245496e-01
1.050000000000000044e+00,-4.777027581913200205e-01,-4.777027632562004245e-01,-4.777032646792130355e-01,-4.777534060201538146e-01,-4.827579126798006715e-01,-1.000539639844761464e+00
1.060000000000000053e+00,-4.857536314365252794e-01,-4.857536366025477781e-01,-4.857541480386316501e-01,-4.858052906854087860e-01,-4.909099058685373329e-01,-1.028144432188206281e+00
1.070000000000000062e+00,-4.935252973058399939e-01,-4.935253025736190402e-01,-4.935258240835980192e-01,-4.935779741214768590e-01,-4.987833347254978511e-01,-1.055625510107553566e+00
1.080000000000000071e+00,-5.010144132917873083e-01,-5.010144186618898932e-01,-5.010149503019158956e-01,-5.010681133489534034e-01,-5.063748099732079400e-01,-1.082983168154030729e+00
1.090000000000000080e+00,-5.082178044363986347e-01,-5.082178099093348500e-01,-5.082183517298837216e-01,-5.082725328365502726e-01,-5.136810993013281035e-01,-1.110213271156450521e+00
1.100000000000000089e+00,-5.151324598596209725e-01,-5.151324654358334643e-01,-5.151330174807322582e-01,-5.151882210325717804e-01,-5.206991241876672838e-01,-1.137307257020714779e+00
1.110000000000000098e+00,-5.217555292276712109e-01,-5.217555349075260196e-01,-5.217560972130115271e-01,-5.218123268364265321e-01,-5.274259566806887012e-01,-1.164252140952314107e+00
1.120000000000000107e+00,-5.280843191889181831e-01,-5.280843249726954181e-01,-5.280848975665040079e-01,-5.281421560377066449e-01,-5.338588161629312934e-01,-1.191030510998953407e+00
1.130000000000000115e+00,-5.341162898002331794e-01,-5.341162956881182478e-01,-5.341168785886081238e-01,-5.341751677458309588e-01,-5.399950661132242313e-01,-1.217620504542983317e+00
1.140000000000000124e+00,-5.398490509662577930e-01,-5.398490569583329624e-01,-5.398496501736403941e-01,-5.399089708326900716e-01,-5.458322108922987193e-01,-1.243995755969050210e+00
1.150000000000000133e+00,-5.452803589163727205e-01,-5.452803650126085699e-01,-5.452809685398344319e-01,-5.453413204127088854e-01,-5.513678925766345440e-01,-1.270125305258455572e+00
1.159999999999999920e+00,-5.504081127365916259e-01,-5.504081189368397187e-01,-5.504087327612694480e-01,-5.504701143781087769e-01,-5.565998878560827201e-01,-1.295973457452449296e+00
1.169999999999999929e+00,-5.552303509792493319e-01,-5.552303572832339995e-01,-5.552309813775885283e-01,-5.552933900117533739e-01,-5.615261049973448992e-01,-1.321499583384418530e+00
1.179999999999999938e+00,-5.597452483688138969e-01,-5.597452547761253561e-01,-5.597458890998447956e-01,-5.598093206962465596e-01,-5.661445809227338977e-01,-1.346657850688955493e+00
1.189999999999999947e+00,-5.639511126197778168e-01,-5.639511191298653969e-01,-5.639517636284239188e-01,-5.640162127349921395e-01,-5.704534784010536486e-01,-1.371396875415594740e+00
1.199999999999999956e+00,-5.678463813869634169e-01,-5.678463879991286767e-01,-5.678470426033794816e-01,-5.679125023055386912e-01,-5.744510833679032924e-01,-1.395659283538009943e+00
1.209999999999999964e+00,-5.714296193677211866e-01,-5.714296260811116968e-01,-5.714302907066612924e-01,-5.714967525647831614e-01,-5.781358023916739475e-01,-1.419381173260381823e+00
1.219999999999999973e+00,-5.746995155629599505e-01,-5.746995223765631877e-01,-5.747001969231806395e-01,-5.747676509134582723e-01,-5.815061603064750617e-01,-1.442491469760143197e+00
